Descriptor,Family,Model,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
nbo_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9214196055697111,0.2553984015917638,0.3339232396412583,6889,10
nbo_min,Kernel/Neighbors,"kNN(k=5,dist)",0.915261402170826,0.24452492593732347,0.3467609464807029,6889,10
nbo_min,Tree Ensembles,RandomForest,0.9489351507354046,0.18754585848766953,0.2691848229748124,6889,10
nbo_min,Tree Ensembles,GradientBoosting,0.9373576961026922,0.2211489319998813,0.29814216718159003,6889,10
nbo_min,Tree Ensembles,DecisionTree,0.9289481526727881,0.22601112421729116,0.31752449203598354,6889,10
nbo_min,Tree Ensembles,ExtraTrees,0.9359146234136473,0.20837144813161337,0.30155672168418957,6889,10
nbo_min,Tree Ensembles,HistGradientBoosting,0.9485907632656481,0.1912696114925569,0.27009100506228206,6889,10
nbo_min,Neural,MLP(100),0.9287697913471028,0.244076019079741,0.31792278281865544,6889,10
nbo_min,Gaussian Process,GPR_C*(RBF+White)_fixed,0.8734533898974854,0.3064399523193074,0.4237549661441121,6889,10
hirsh_qa_min,Linear/Regularized,Linear Regression,0.24299836324240875,0.8220219500704684,1.0364251718142823,6889,10
hirsh_qa_min,Linear/Regularized,RidgeCV,0.2430213859245156,0.8220985370020103,1.0364094113010114,6889,10
hirsh_qa_min,Linear/Regularized,LassoCV,0.21919308487606481,0.8298409416754996,1.052595159287393,6889,10
hirsh_qa_min,Linear/Regularized,ElasticNetCV,0.21306273303032097,0.8330116983117629,1.0567192022170295,6889,10
hirsh_qa_min,Linear/Regularized,BayesianRidge,0.2429710080767693,0.8224034225852633,1.0364438978808759,6889,10
hirsh_qa_min,Kernel/Neighbors,LinearSVR,0.21201416211945245,0.8098823772309002,1.0574229915781401,6889,10
hirsh_qa_min,Kernel/Neighbors,SVR_RBF,0.76982153124375,0.4026430546550092,0.5715074436479164,6889,10
hirsh_qa_min,Kernel/Neighbors,SVR_Poly3,0.3468245086948901,0.7543396098214871,0.9627299512794714,6889,10
hirsh_qa_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.7575329254855554,0.4324009408942466,0.5865647081386695,6889,10
hirsh_qa_min,Kernel/Neighbors,"kNN(k=5,dist)",0.7368033452239006,0.3971609098694393,0.611124543008298,6889,10
hirsh_qa_min,Tree Ensembles,RandomForest,0.8133633748335064,0.305276838341206,0.5146215628285035,6889,10
hirsh_qa_min,Tree Ensembles,GradientBoosting,0.8023152263305706,0.34361169334170394,0.5296343608427142,6889,10
