Descriptor,Model,Train_Fraction,Train_Percent,Repeat,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,0.9052390918331411,0.2784032791726507,0.3666942922895804,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,0.9090267287835485,0.2745307823472698,0.35929109107031565,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,0.8787804138511497,0.31134326081367025,0.4147400172939437,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,9,0.9015090084558095,0.28670070315517804,0.3738417472342701,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.02,2,10,0.902245777839274,0.28651693457639776,0.3724408465609597,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,1,0.9246610012085928,0.2485438087898252,0.3269636441740341,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,2,0.9163144345692523,0.2548205157546692,0.3445996407684202,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,3,0.9270960574108102,0.24480908530337003,0.3216362948921379,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,4,0.9306205052385972,0.2364885698980367,0.3137654423860342,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,5,0.9154384399230862,0.2568308248004654,0.3463985267695607,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,6,0.9185448879102235,0.2587616918598596,0.33997635689228567,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,7,0.9221914172782718,0.2523722065779431,0.332279306463707,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,8,0.9061182368237806,0.27281767926084804,0.3649893241762241,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,9,0.9175501307090449,0.2574066665103842,0.3420460100008182,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.03,3,10,0.9061481220380935,0.27774334874013834,0.3649312263518549,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,1,0.9304604208705741,0.23598611474562076,0.3141272207607395,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,2,0.9253763909201663,0.2411752781322019,0.3254075818825716,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,3,0.9312307355230038,0.23862654163114577,0.31238252617714835,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,4,0.9379945454089516,0.2242057757187029,0.2966227731862176,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,5,0.9243390931431019,0.24620957092208523,0.32766142384413177,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,6,0.923918089119272,0.24538885867190974,0.3285717712051331,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,7,0.9317555765342724,0.23271792273459546,0.3111882050161307,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,8,0.9187240311288355,0.25689160609180756,0.3396022982190992,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,9,0.9299717484965374,0.23825000360049375,0.31522901458685076,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.04,4,10,0.9186014947375893,0.2571066654244651,0.3398582039172114,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,1,0.9343558947617453,0.2273236020487317,0.30520202406725944,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,2,0.9322371659757853,0.23112959203276792,0.3100882595831245,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,3,0.9362686494978931,0.22902131368103593,0.30072262503444813,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,4,0.9378081126464137,0.22155110192034685,0.2970683686405283,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,5,0.9299160159210048,0.23473083059944808,0.3153544284759881,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,6,0.9290336103935559,0.2349412753261425,0.3173334830443069,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,7,0.9338944602948147,0.23185133248054765,0.30627282937543543,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,8,0.9204722013277038,0.25136982817169506,0.33593018076264963,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,9,0.9338557218857924,0.2319103804647889,0.3063625554749503,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.05,5,10,0.9260324712511695,0.24107403157319615,0.3239739548967658,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,1,0.9393842747676991,0.21540633735560274,0.2932798299242022,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,2,0.9419755267118626,0.21367866176759515,0.2869426774670129,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,3,0.9467069719649571,0.2060925729592415,0.27499496450112954,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,4,0.942489572612151,0.2113404761787855,0.2856688197511784,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,5,0.9412329383921393,0.21715102810517672,0.2887729643642117,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,6,0.9436866402018357,0.20928237140925723,0.2826801171159417,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,7,0.9411766099403357,0.2180353612928745,0.28891132620875126,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,8,0.9411360534666067,0.2147453976184892,0.2890109056927888,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,9,0.9411948043546798,0.2162857828420316,0.2888666417821367,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.1,10,10,0.935327985926002,0.22306458829002046,0.3029338024128662,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,1,0.9415229870098724,0.21135624917645557,0.2880594540985474,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,2,0.945606114166154,0.20542762857619146,0.27782069003841986,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,3,0.9483512813750521,0.20102607627351912,0.270719362493131,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,4,0.9416543622608355,0.2139061054342183,0.2877356930154032,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,5,0.9454315467340495,0.20628149080550479,0.27826614079313755,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,6,0.94607599892769,0.20347248127846423,0.2766181021153044,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,7,0.9394621155790299,0.2170797576086984,0.2930914590547075,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,8,0.9427091391918992,0.21192486034995925,0.2851229769338798,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,9,0.9438509517940364,0.2083774105626322,0.2822674126429096,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.15,15,10,0.9389958236066557,0.2174112682516581,0.2942180596724102,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,1,0.9442657656162065,0.2057907591158764,0.2812228225305089,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,2,0.9448001464779012,0.20675748555068799,0.27987139054889926,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,3,0.9477706672540966,0.20128962682695925,0.27223676898591326,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,4,0.9437513030737181,0.20871920525704526,0.28251777412529133,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,5,0.9449444865102049,0.2066621974351913,0.2795052384173636,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,6,0.9459805526229388,0.20277223406590794,0.2768628030129948,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,7,0.9412316751772344,0.21238544468442572,0.2887760679765286,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,8,0.9456217986768559,0.20652692835647385,0.27778063226643646,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,9,0.9455594034857866,0.20567279022048274,0.2779399535219111,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.2,20,10,0.9436544753287887,0.2071606308313493,0.2827608357246871,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,1,0.9443588058043207,0.20423950595721008,0.2809879942118097,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,2,0.9458892287696914,0.20503498713898052,0.2770967326628842,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,3,0.9417157799567092,0.20882767714554054,0.2875842102563106,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,4,0.9440622752168637,0.20713950507560433,0.2817357389261486,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,5,0.9435055102132525,0.20616133282911406,0.2831343675851531,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,6,0.9462009252966709,0.20513331699859896,0.2762974941094697,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,7,0.9418799731485856,0.20867948774417597,0.28717884606106664,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,8,0.9465522054184398,0.20504239654722942,0.2753939769801211,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,9,0.9443715548368657,0.20726707395834026,0.2809558010646079,6889,10
dg_ch3,GPR[Matern_1.5 + White],0.3,30,10,0.9419947368960135,0.21035724462327304,0.28689517442500834,6889,10
