Descriptor,Model,Train_Fraction,Train_Percent,Repeat,Fold,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train_full,n_train_used,n_test
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,3,C13,0.9976081242383472,0.033263032354719266,0.04915089703616615,0.8878548027390858,0.37886375403097144,0.46561048419488843,6483,65,406
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,4,C14,0.9999758545877334,0.003923223753408124,0.005439275509131646,0.7692297628202873,0.42123031745121253,0.5224203396145676,6471,65,418
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,5,C17,0.9967783799162393,0.05101203598078557,0.07119398746434252,0.8736083989575639,0.2766289938872533,0.3600512577787463,6082,61,807
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,6,C18,0.998881819098778,0.029173383101890594,0.038295423891370285,0.8666864086079804,0.43976035127661395,0.559932813008831,6285,63,604
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,7,C19,0.9925111285228108,0.076648660017707,0.10424498690513753,0.8876714209604158,0.3369711314248369,0.4464110174658916,6206,63,683
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,8,C2,0.9932242766251489,0.08583374269548687,0.11240850089307129,0.9164955583362528,0.23141566130122393,0.29826118462326534,6147,62,742
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,9,C3,0.9936888255793368,0.07497161701090672,0.0997908865924248,0.727239389607995,0.36327213840669437,0.46704689262415316,5729,58,1160
dg_ch3,GPR[Matern_1.5 + White],0.01,1,10,10,C4,0.9977519161735416,0.04468930114733051,0.058601261985188,0.5650342203640182,0.5658703755789831,0.6671131454249852,6340,64,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,1,C1,0.9942494454974,0.08377568051570199,0.10531436343325991,0.9267035105424201,0.23618630138784108,0.28320595145893823,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,2,C12,0.9987663954293378,0.03148489001279206,0.04056864389106664,0.9468255800250783,0.2795855794448062,0.33741580230056184,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,3,C13,0.9948307946445561,0.06273319515084806,0.084873151102816,0.9237429723317898,0.3168172555386469,0.3839479454031422,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,4,C14,0.9951961368111311,0.06202058747393406,0.0837270849418574,0.8478625437590104,0.31384419286472853,0.42417811148756446,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,5,C17,0.9858741821762222,0.11170572219461748,0.14446341072873445,0.9309937360268163,0.20636147569616095,0.2660415579182199,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,6,C18,0.9886516983365262,0.08221245945449807,0.10904840890588956,0.9293250452008213,0.31214810339028615,0.40769132851212303,6285,126,604
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,7,C19,0.9819304971638174,0.10496044318428452,0.14851505237260382,0.9348068586373091,0.26553050535423156,0.3400875441985479,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,8,C2,0.9851975072080053,0.10214873444121202,0.13648635862454148,0.9320711526468558,0.2043365455174382,0.26901040160983974,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,9,C3,0.9938736102539872,0.07845437128310047,0.10664500143907664,0.9059489403190579,0.2036856200198392,0.27425307563424334,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,1,10,C4,0.9893910251611409,0.08524959227354477,0.10946078764265027,0.6288086395378343,0.5263456567087015,0.6162697956607583,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,1,C1,0.9904055980877384,0.1028593184967075,0.1325451725965555,0.8658472067181431,0.3055495213886828,0.38314278194962836,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,2,C12,0.9939751563915973,0.057173177698867046,0.07645192714184182,0.8956568839611765,0.35811530611663805,0.47265683068255526,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,3,C13,0.9912384678870756,0.08326475503526026,0.1145959587392381,0.912871741294176,0.3269108611341299,0.41040432462143017,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,4,C14,0.9970822289351317,0.053242352431803364,0.06910403749098354,0.43253945151912754,0.7215190699196282,0.8192152263160809,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,5,C17,0.9920527133187117,0.08953971024597365,0.11420364756430482,0.9163507771188856,0.21867704851865766,0.292911336270821,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,6,C18,0.9965782313457491,0.05160018842837289,0.07237916744818232,0.9518539470008123,0.26598201192601095,0.3364953361931705,6285,126,604
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,7,C19,0.9978983696234813,0.041331132128254226,0.05495118453744385,0.92745072849071,0.28990858452375706,0.35876188722427144,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,8,C2,0.988275547736158,0.1077430323535847,0.13941579750514985,0.9247992503760574,0.2124625015727965,0.2830434016915857,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,9,C3,0.9908087635197061,0.08657912322531965,0.12431238018640912,0.9128199395914608,0.19463229527565237,0.2640451793009453,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,2,10,C4,0.9848522733217169,0.09391942059012544,0.13318248191540524,0.5737006916413765,0.5462077142175435,0.6604337626438088,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,1,C1,0.9927605229623997,0.0822789545956626,0.10930591447308774,0.8758716184158524,0.3035565731369405,0.36854993152930665,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,2,C12,0.9870944465817185,0.0963819410473057,0.1281242683911962,0.9474043412487315,0.26178499578972597,0.33557452721167924,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,3,C13,0.9889577160726152,0.08943245729320659,0.11776155044747386,0.917210156878373,0.3242840447807449,0.4000561406918411,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,4,C14,0.9984292545777218,0.0377413832322591,0.04914366302297355,0.8880632442741818,0.28221938745709463,0.363845105195557,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,5,C17,0.9974149963372037,0.04652603320269344,0.0601149625666819,0.9328683822932443,0.19367116948140484,0.2624029910688287,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,6,C18,0.9823790294244865,0.12079083719536206,0.151972381429413,0.9371923590405179,0.3046082284895856,0.38433058359301314,6285,126,604
