descriptor,model,group,fold_idx,n_train,n_test,r2_fold,mae_fold,rmse_fold,best_score_inner,best_params_inner
nbo_boltz,HistGradientBoosting,C12,2,6210,679,0.9805074942332772,0.16043938003703978,0.2042903597467241,0.9302725681778486,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
nbo_boltz,HistGradientBoosting,C13,3,6483,406,0.9666485769630088,0.19504639497174334,0.2539157239463479,0.9336038121883721,"{""model__learning_rate"": 0.2, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
nbo_boltz,HistGradientBoosting,C14,4,6471,418,0.9450674339417412,0.20399949973688378,0.25488549552753037,0.937156686257848,"{""model__learning_rate"": 0.2, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
nbo_boltz,HistGradientBoosting,C17,5,6082,807,0.9847066623991381,0.09406326026185645,0.12524383651893473,0.872233397609234,"{""model__learning_rate"": 0.2, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
nbo_boltz,HistGradientBoosting,C18,6,6285,604,0.9767307145314951,0.1863999579480463,0.23393232021268892,0.9348784150096148,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
nbo_boltz,HistGradientBoosting,C19,7,6206,683,0.9721843196606836,0.17033088451978096,0.222144014152992,0.9320465872913541,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 63}"
nbo_boltz,HistGradientBoosting,C2,8,6147,742,0.988744527445206,0.08815614136385651,0.10950244512774801,0.9383647016886917,"{""model__learning_rate"": 0.1, ""model__max_depth"": null, ""model__max_leaf_nodes"": 31}"
nbo_boltz,HistGradientBoosting,C3,9,5729,1160,0.945076301351489,0.16092110370056112,0.20957986098190978,0.9376605418083901,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 63}"
nbo_boltz,HistGradientBoosting,C4,10,6340,549,0.6142651553915988,0.5617431915993283,0.6282266982362388,0.9637860233334405,"{""model__learning_rate"": 0.1, ""model__max_depth"": 12, ""model__max_leaf_nodes"": 31}"
dg_ch3,KernelRidge_RBF,C1,1,6048,841,0.9523665276898782,0.17889385882839504,0.2283057812182938,0.9064549960735135,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C12,2,6210,679,0.9593171985586646,0.2391839841499186,0.2951341488978838,0.9206528435845811,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C13,3,6483,406,0.9529590912117493,0.24018912219533808,0.30155758932686527,0.9269409396135775,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C14,4,6471,418,0.6354931415585972,0.5730544588253971,0.6565730176322776,0.9431124198049539,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C17,5,6082,807,0.9585362032681108,0.1550590323288235,0.20622426203684882,0.9283391426365781,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C18,6,6285,604,0.9548265521166641,0.2539672172423938,0.3259419986588665,0.9289654416957456,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C19,7,6206,683,0.9674858890887242,0.18871397470732354,0.2401738463980971,0.9103169435999922,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C2,8,6147,742,0.9689656672933756,0.15205517797020662,0.18182900241512195,0.9276113197621235,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C3,9,5729,1160,0.9326176836740534,0.16720468216084608,0.23213607028313402,0.9190791592990928,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,KernelRidge_RBF,C4,10,6340,549,0.4410230380271408,0.6607033675261282,0.7562561293921249,0.9232868465493169,"{""model__alpha"": 0.1, ""model__gamma"": 0.01}"
nbo_boltz,KernelRidge_RBF,C1,1,6048,841,0.8904301065960596,0.28616220407756504,0.34626325554981424,0.9231203709951407,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C12,2,6210,679,0.9722055355841676,0.2023906144502306,0.24394571413940155,0.9160865030762807,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C13,3,6483,406,0.9646845155376957,0.20460964738971002,0.2612853111398898,0.9203085503966154,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C14,4,6471,418,0.8636005209563167,0.3065315939427565,0.40163960821168604,0.9261556485714916,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C17,5,6082,807,0.967417539753022,0.1446770522798978,0.18280882692315764,0.914695758646808,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C18,6,6285,604,0.9609999532212667,0.23097096669917513,0.3028525735295759,0.9200020628742044,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C19,7,6206,683,0.9728623003849188,0.1721638090704054,0.21942003876305133,0.9176746907319459,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C2,8,6147,742,0.9649553884581671,0.14995886135599512,0.19322022136779987,0.922833625661888,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C3,9,5729,1160,0.8837670708384748,0.24178682893078934,0.30488373165406574,0.9272607736400799,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
nbo_boltz,KernelRidge_RBF,C4,10,6340,549,0.7434378702864459,0.4530145086520547,0.512351756109271,0.9286590804011375,"{""model__alpha"": 0.1, ""model__gamma"": 0.1}"
dg_ch3,MLP(100),C1,1,6048,841,0.9398701416365532,0.2084326121902522,0.2565109320901955,0.9377154631359724,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
dg_ch3,MLP(100),C12,2,6210,679,0.9658947182998415,0.20976565856041865,0.2702245846823211,0.9410206648354977,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
dg_ch3,MLP(100),C13,3,6483,406,0.961325308229859,0.21757410002240554,0.2734297980992432,0.9397789250944338,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
dg_ch3,MLP(100),C14,4,6471,418,0.8940231196273758,0.3165476645525867,0.3540264779542266,0.9486374295110018,"{""model__activation"": ""tanh"", ""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.001}"
dg_ch3,MLP(100),C17,5,6082,807,0.957236382301387,0.15267780501949665,0.20943171251889023,0.948451618348226,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.01}"
dg_ch3,MLP(100),C18,6,6285,604,0.9559600829595971,0.25009062930437265,0.3218266100356,0.9432108378072854,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
dg_ch3,MLP(100),C19,7,6206,683,0.9665230971310433,0.1883920129269729,0.2437038600450162,0.9443822857256681,"{""model__activation"": ""tanh"", ""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.001}"
dg_ch3,MLP(100),C2,8,6147,742,0.9814659628166066,0.1107108798128777,0.14051638396020968,0.9447163645982499,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.01}"
dg_ch3,MLP(100),C3,9,5729,1160,0.9347137681701759,0.16410152617520232,0.22849697847578,0.9485654227059056,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.01}"
dg_ch3,MLP(100),C4,10,6340,549,0.7809545565286372,0.4003626648923044,0.4734117849132746,0.9501229883296556,"{""model__activation"": ""relu"", ""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,MLP(100),C1,1,6048,841,0.8839753809960371,0.3032971142500127,0.3563164426425811,0.9305839007288839,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.01}"
nbo_boltz,MLP(100),C12,2,6210,679,0.9723832278901396,0.19885754879628742,0.24316468128957397,0.9045468492330213,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,MLP(100),C13,3,6483,406,0.9607098666396763,0.2186317095000332,0.27559679496514905,0.9156063218353452,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
