parameter,Family,Model,R2(test),MAE(test),RMSE(test),R2(train),MAE(train),RMSE(train)
hirsh_qcm5h_boltz,Neural,MLP(100),0.9621262463986192,0.17289750556763145,0.23235684493211406,0.9642414000397044,0.16843867899394893,0.22505806756324476
hirsh_qcm5h_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9741660914546784,0.14733116698599902,0.19190281921936533,0.9797635780428132,0.12550562935811924,0.16930555017968663
dg_nh3,Linear/Regularized,Linear Regression,0.26693615602528353,0.81302814925578,1.0222501806467708,0.2810537855438552,0.7956375595040895,1.0091425835732175
dg_nh3,Linear/Regularized,RidgeCV,0.2669770447633135,0.8131344205954442,1.022221670781596,0.2810517598496144,0.7957596903903386,1.009144005246243
dg_nh3,Linear/Regularized,LassoCV,0.2669991039892202,0.8132542167955256,1.0222062895522284,0.2810463660404723,0.7958747257257629,1.0091477907203898
dg_nh3,Linear/Regularized,ElasticNetCV,0.2669988083574578,0.8132504551935936,1.0222064956888226,0.28104656548474516,0.7958714989436456,1.0091476507469954
dg_nh3,Linear/Regularized,BayesianRidge,0.26707041420050914,0.8134536616116127,1.0221565655206177,0.2810236989591136,0.7961209337964646,1.009163698738447
dg_nh3,Kernel/Neighbors,LinearSVR,0.24730104074072112,0.8005586012186002,1.035850199011842,0.2559464827853307,0.7857304781570781,1.0266121956324128
dg_nh3,Kernel/Neighbors,SVR_RBF,0.9104497266745644,0.2480877293341621,0.3572890891040797,0.9169231795980102,0.23690073115373866,0.3430396064068534
dg_nh3,Kernel/Neighbors,SVR_Poly3,0.5027813876603437,0.6672030643529206,0.8418989824926494,0.47794199671697235,0.666649864092377,0.8599312096348941
dg_nh3,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9229620705908838,0.2403490633980998,0.33138938784453675,0.9289252897989627,0.2276680175243812,0.3172940155206766
dg_nh3,Kernel/Neighbors,"kNN(k=5,dist)",0.9241399822880942,0.23556095884611788,0.3288461532201678,1.0,0.0,0.0
dg_nh3,Tree Ensembles,RandomForest,0.9846244168951646,0.08404679213721895,0.14804784615948702,0.9985275045326366,0.029956270786056918,0.0456700319541023
dg_nh3,Tree Ensembles,GradientBoosting,0.9440969430817221,0.21229766316162105,0.2822955775080587,0.9522110202355725,0.19525400894812417,0.26017658660415754
dg_nh3,Tree Ensembles,DecisionTree,0.9882598684989804,0.08576925473816653,0.12936678246941832,1.0,0.0,0.0
dg_nh3,Tree Ensembles,ExtraTrees,0.9847963719157939,0.07278201241824035,0.14721766143836276,1.0,2.1007637985000825e-14,2.5720359489990193e-14
dg_nh3,Tree Ensembles,HistGradientBoosting,0.9883467441952385,0.08925716054718233,0.12888724362811546,0.9919512217521743,0.07670340819358465,0.10677493440781544
dg_nh3,Neural,MLP(100),0.911879637881145,0.24720106732913613,0.35442506903683263,0.9189244388821677,0.23818951223140394,0.3388826337362843
